tgDataLogger2 started logging at time 01242019_112544, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.316466,9.38139,0.312358,-0.854635,0.2363,0.517355,0.149047,0.233686,9.03836,-0.311295,-1.53366,-0.811526,-0.831297,0.151319,
0.2,0.316473,7.91037,0.31237,-0.85463,0.236321,0.517381,0.149047,0.23368,7.56736,-0.311306,-1.53343,-0.811634,-0.831458,0.151319,
0.3,0.316472,5.45835,0.312376,-0.854626,0.236342,0.517405,0.149047,0.23368,5.11536,-0.311313,-1.53343,-0.811606,-0.831462,0.151319,
0.4,0.278881,2.58763,0.482196,-0.729825,0.587487,0.804585,0.149047,0.152316,2.55794,-0.222314,-1.39209,-0.397434,-0.9098,0.151319,
0.5,0.219998,1.6,0.639323,-0.671485,0.818653,1.04499,0.149047,0.0632868,1.78771,-0.0369755,-1.55193,-0.0764867,-0.924771,0.151319,
0.6,0.219456,1.6,0.64096,-0.669295,0.820604,1.04616,0.149047,0.0615958,1.77875,-0.0343093,-1.55063,-0.074426,-0.925771,0.151319,
0.7,0.219425,1.6,0.641124,-0.669095,0.8207,1.04629,0.149047,0.0615553,1.77875,-0.0341498,-1.55048,-0.0745354,-0.925803,0.151319,
0.8,0.219403,1.6,0.641266,-0.668994,0.820758,1.04636,0.149047,0.0615223,1.77875,-0.0340061,-1.55046,-0.0745526,-0.925823,0.151319,
