tgDataLogger2 started logging at time 01232019_205941, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,0.993955,4.22434,1.0986,-0.0660294,0.000618993,0.242041,1.99491,
0.2,0.983465,5.49304,1.20435,-0.129479,0.0166705,0.485667,1.99491,
0.3,0.972974,5.78073,1.3101,-0.186465,0.0469996,0.728269,1.99491,
0.4,0.962484,5.08742,1.41585,-0.233995,0.0894013,0.969685,1.99491,
0.5,0.951994,3.41312,1.5216,-0.269729,0.141077,1.21047,1.99491,
0.6,0.987081,2.53889,1.84293,-0.307466,0.24554,1.59226,1.99491,
0.7,1.02101,2.59473,2.07907,-0.28166,0.317734,1.80378,1.99491,
0.8,1.03173,2.60444,2.21737,-0.25039,0.361334,1.92893,1.99491,
0.9,1.04103,2.59881,2.3467,-0.213638,0.399766,2.0492,1.99491,
1,1.0735,2.55957,2.54946,-0.158871,0.447015,2.24981,1.99491,
1.1,1.1657,2.36587,2.92007,-0.0513867,0.500638,2.67847,1.99491,
1.2,1.4227,2.1879,3.27283,-0.238934,0.642641,2.91315,1.99491,
1.3,1.82761,2.18549,3.35023,-0.427415,1.13392,2.6464,1.99491,
1.4,2.17874,2.24171,3.3196,-1.6963,1.29546,1.43958,1.99491,
1.5,2.50141,2.15781,3.21449,-2.77547,1.07531,0.307999,1.99491,
1.6,2.76958,2.23696,3.04376,-2.8196,0.670262,0.297751,1.99491,
1.7,3.03584,2.06504,2.85004,-3.0701,0.299254,0.0253702,1.99491,
1.8,3.17592,2.22473,2.57685,-2.94017,-0.0872799,0.13543,1.99491,
1.9,3.33756,2.08861,2.32146,-3.09363,-0.448666,0.0638509,1.99491,
2,3.35904,2.16027,2.02321,-2.97433,-0.808167,0.0103684,1.99491,
2.1,3.35763,2.17683,1.74779,-2.93751,-1.15191,-0.0104684,1.99491,
2.2,3.32343,2.02254,1.46941,2.97351,-1.4937,0.187959,1.99491,
2.3,3.17026,2.13837,1.2473,-0.213126,-1.31079,-2.79572,1.99491,
2.4,3.01005,2.15364,1.05464,-0.0479451,-1.00216,-2.93556,1.99491,
2.5,2.82632,2.07526,0.887086,0.0152668,-0.694972,-3.07187,1.99491,
2.6,2.59571,2.05789,0.795471,-0.0250745,-0.392381,-3.07569,1.99491,
