tgDataLogger2 started logging at time 01232019_205851, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,1.07212,9.78875,3.40404,-3.00843,-0.736072,2.57644,0.193414,
0.2,1.10434,12.6205,4.28418,1.21345,1.09335,1.41891,0.193414,
0.3,1.13656,14.4712,5.16431,-0.636349,-0.863896,0.661676,0.193414,
0.4,1.16877,15.341,6.04445,2.91238,0.240769,2.8097,0.193414,
0.5,1.20099,15.2297,6.92458,-0.074386,0.456356,0.381332,0.193414,
0.6,1.23321,14.1375,7.80472,-2.57289,-1.00187,2.23293,0.193414,
0.7,1.26542,12.0642,8.68486,2.00246,1.03022,2.08408,0.193414,
0.8,1.29764,9.01,9.56499,-0.346416,-0.549748,0.446117,0.193414,
0.9,1.37763,5.82212,10.4163,-2.47138,-0.912356,2.27741,0.193414,
1,1.3604,5.82789,10.806,0.155706,0.0962029,0.478295,0.193414,
1.1,1.42258,5.70636,10.8353,3.13203,0.263911,2.59951,0.193414,
1.2,1.6425,5.84061,10.6646,0.625397,0.691726,0.547484,0.193414,
1.3,1.88385,5.93148,10.6025,0.454851,0.427201,0.35127,0.193414,
1.4,1.9253,5.89787,10.7605,0.417791,0.141741,0.25525,0.193414,
1.5,1.76456,5.76386,11.022,0.266937,-0.876873,0.28185,0.193414,
1.6,1.84127,5.79399,11.1253,-2.65683,0.580643,3.11126,0.193414,
1.7,2.08867,5.91941,11.2992,-2.47996,1.24969,-2.90539,0.193414,
1.8,2.08095,5.93278,11.4426,-1.1879,1.40301,-1.59217,0.193414,
1.9,1.82475,5.83328,11.4687,-0.0215679,0.957714,-0.501842,0.193414,
2,1.6579,5.77127,11.469,1.73994,-1.15836,-1.43425,0.193414,
2.1,1.65143,5.8948,11.7522,-3.03887,-0.155093,-2.71313,0.193414,
2.2,1.5491,5.94632,11.9034,-2.99067,0.198834,-2.70714,0.193414,
2.3,1.41327,5.88467,11.7769,-2.86068,0.587612,-2.58245,0.193414,
2.4,1.34318,5.78092,11.5567,-0.580212,0.625484,-0.588664,0.193414,
2.5,1.17298,5.86079,11.637,0.78815,-1.17334,-1.13331,0.193414,
2.6,0.956632,5.94086,11.6724,2.08428,-1.19056,-2.40157,0.193414,
2.7,0.946083,5.91465,11.5511,2.48776,-0.954164,-2.85178,0.193414,
2.8,1.12013,5.81321,11.3842,2.65658,0.079251,-3.07971,0.193414,
2.9,1.08096,5.83749,11.2872,-0.405115,0.674617,0.111576,0.193414,
