0.1,0.0151017,11.1405,-6.45501,-1.18514,-0.103214,-0.139484,2.32229,-0.122523,10.9431,-5.582,-0.811218,1.30169,-2.21286,2.32229,4.7732,10.3996,-5.33431,-2.62017,0.750639,0.580067,2.70823,
0.2,-1.32277,16.7865,-11.4697,-1.10386,-0.707879,-0.799248,2.32229,-1.08817,17.2687,-11.1496,0.687745,1.00897,-0.423439,2.32229,6.95941,18.2251,-9.31648,-0.143254,0.322453,1.23189,2.70823,
0.3,-2.42664,21.6509,-16.5639,0.0509151,-0.980129,-2.56829,2.32229,-1.99853,22.0434,-16.7851,-1.21106,1.00415,-2.0202,2.32229,8.89755,25.3873,-13.1721,0.709816,0.132204,0.0864731,2.70823,
0.4,-3.41991,25.7584,-21.814,0.4113,-0.590935,2.63637,2.32229,-3.0195,25.6131,-22.2647,-1.96597,0.0591689,-2.36435,2.32229,10.8357,31.5684,-17.0278,1.26903,0.810461,-1.00002,2.70823,
0.5,-4.30484,28.8288,-27.3119,0.277829,-0.107903,1.87621,2.32229,-4.1488,28.2579,-27.4967,-2.62635,-0.759147,-1.9664,2.32229,12.7738,36.7686,-20.8835,-0.210173,1.1573,2.59757,2.70823,
0.6,-5.18853,30.6861,-32.9215,-0.22471,0.126517,1.04785,2.32229,-5.27934,30.1538,-32.6168,2.28757,-0.832459,-0.732895,2.32229,14.712,40.9878,-24.7391,-0.0992695,0.369164,1.29892,2.70823,
0.7,-6.17818,31.3502,-38.4356,-0.66229,-0.093513,0.203177,2.32229,-6.30393,31.2809,-37.8325,1.61695,-0.110422,-0.193913,2.32229,16.6501,44.2259,-28.5948,0.684405,0.188839,0.135071,2.70823,
0.8,-7.28063,31.0169,-43.7216,-0.776784,-0.505515,-0.607061,2.32229,-7.21571,31.4434,-43.2763,1.28416,0.767672,-0.0831683,2.32229,18.5883,46.4831,-32.4504,1.17977,0.813537,-1.01163,2.70823,
0.9,-8.40347,29.8923,-48.8418,-0.444989,-0.809931,-1.66569,2.32229,-8.1071,30.4351,-48.8859,-1.05325,1.42214,-2.12017,2.32229,20.5264,47.7593,-36.3061,-0.0900534,1.12245,2.76045,2.70823,
1,-9.44144,28.0198,-53.9947,0.0424946,-0.674378,-2.85916,2.32229,-9.08336,28.2128,-54.4627,-1.98066,0.595587,-2.71387,2.32229,22.4646,48.0544,-40.1618,-0.0501983,0.409299,1.37175,2.70823,
1.1,-10.3608,25.254,-59.3483,0.0767073,-0.321359,2.54309,2.32229,-10.1782,24.9218,-59.8389,-2.35308,-0.218366,-2.50487,2.32229,24.4027,47.3686,-44.0174,0.66537,0.246054,0.185648,2.70823,
1.2,-11.2216,21.3791,-64.9064,-0.186365,-0.101457,1.73174,2.32229,-11.3316,20.7779,-65.0106,3.12101,-0.771481,-1.79389,2.32229,26.3408,45.7018,-47.8731,1.09293,0.81919,-1.01977,2.70823,
1.3,-12.1305,16.2841,-70.5083,-0.513328,-0.177773,0.909273,2.32229,-12.437,15.8921,-70.1384,2.04527,-0.506362,-0.80749,2.32229,28.279,43.0539,-51.7287,0.000123202,1.07938,2.89648,2.70823,
1.4,-13.1551,10.05,-75.9589,-0.651915,-0.488799,0.0873944,2.32229,-13.4266,10.1833,-75.4176,1.56926,0.245978,-0.445099,2.32229,30.2171,39.4251,-55.5844,0.00350168,0.442134,1.44997,2.70823,
1.5,-14.1853,3.04211,-81.122,0.112359,-0.926039,-1.47067,2.32229,-14.2933,3.62474,-80.9154,1.31299,0.920742,-0.322431,2.32229,32.1553,34.8153,-59.4401,0.653062,0.303347,0.238755,2.70823,
1.6,-15.2291,1.92597,-84.9158,-0.141406,-0.996878,-1.45667,2.32229,-15.221,2.5449,-84.8696,0.224201,1.24581,-1.32628,2.32229,34.0934,29.2244,-63.2957,1.00834,0.827748,-1.02499,2.70823,
1.7,-16.2042,1.81,-88.1798,-0.0902748,-1.14978,-1.48837,2.32229,-16.1924,2.43018,-88.1811,-0.132988,1.10321,-1.66541,2.32229,36.0316,22.6526,-67.1514,0.0636907,1.03087,3.00903,2.70823,
1.8,-17.0099,1.81,-90.9088,0.606272,-1.25558,-2.15363,2.32229,-17.0385,2.42501,-90.9877,-0.0984178,0.942895,-1.71916,2.32229,37.9697,15.0998,-71.007,0.061048,0.467015,1.53283,2.70823,
