time,0_rod(payload_bars compound_jI9Z3N).X,0_rod(payload_bars compound_jI9Z3N).Y,0_rod(payload_bars compound_jI9Z3N).Z,0_rod(payload_bars compound_jI9Z3N).Euler1,0_rod(payload_bars compound_jI9Z3N).Euler2,0_rod(payload_bars compound_jI9Z3N).Euler3,0_rod(payload_bars compound_jI9Z3N).mass,1_rod(payload_bars compound_jI9Z3N).X,1_rod(payload_bars compound_jI9Z3N).Y,1_rod(payload_bars compound_jI9Z3N).Z,1_rod(payload_bars compound_jI9Z3N).Euler1,1_rod(payload_bars compound_jI9Z3N).Euler2,1_rod(payload_bars compound_jI9Z3N).Euler3,1_rod(payload_bars compound_jI9Z3N).mass,2_rod(payload_bars compound_jI9Z3N).X,2_rod(payload_bars compound_jI9Z3N).Y,2_rod(payload_bars compound_jI9Z3N).Z,2_rod(payload_bars compound_jI9Z3N).Euler1,2_rod(payload_bars compound_jI9Z3N).Euler2,2_rod(payload_bars compound_jI9Z3N).Euler3,2_rod(payload_bars compound_jI9Z3N).mass,3_rod(payload_bars compound_jI9Z3N).X,3_rod(payload_bars compound_jI9Z3N).Y,3_rod(payload_bars compound_jI9Z3N).Z,3_rod(payload_bars compound_jI9Z3N).Euler1,3_rod(payload_bars compound_jI9Z3N).Euler2,3_rod(payload_bars compound_jI9Z3N).Euler3,3_rod(payload_bars compound_jI9Z3N).mass,4_rod(sense_bar compound_jI9Z3N).X,4_rod(sense_bar compound_jI9Z3N).Y,4_rod(sense_bar compound_jI9Z3N).Z,4_rod(sense_bar compound_jI9Z3N).Euler1,4_rod(sense_bar compound_jI9Z3N).Euler2,4_rod(sense_bar compound_jI9Z3N).Euler3,4_rod(sense_bar compound_jI9Z3N).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000419788,50.0011,0.00852829,9.3332e-05,0.000372569,2.5089e-05,0.24652,-0.000419788,50.0011,0.00852829,9.3332e-05,0.000372569,2.5089e-05,0.24652,-0.000419788,50.0011,0.00852829,9.3332e-05,0.000372569,2.5089e-05,0.24652,-0.000419788,50.0011,0.00852829,9.3332e-05,0.000372569,2.5089e-05,0.24652,-0.000419788,50.0011,0.00852829,9.3332e-05,0.000372569,2.5089e-05,0.24652,-0.72718,49.9836,0.0153242,0.00553418,0.0132846,-2.35194,0.0592915,0.752094,49.979,0.0109731,0.00567812,0.0133911,-2.35194,0.0592915,0.00864152,49.4605,-0.512065,0.0153408,0.0070902,-0.788889,0.0592915,0.0168226,50.502,0.538337,0.0163916,0.00604659,-0.788898,0.0592915,0.0244013,49.4603,0.537942,-1.57374,-0.00288596,-0.00311414,0.0592915,0.000848762,50.5022,-0.511608,-1.57396,-0.00315951,-0.00289413,0.0592915,
0.0202,-0.00095868,49.986,0.00857911,0.000217616,0.000832162,5.09722e-05,0.24652,-0.00095868,49.986,0.00857911,0.000217616,0.000832162,5.09722e-05,0.24652,-0.00095868,49.986,0.00857911,0.000217616,0.000832162,5.09722e-05,0.24652,-0.00095868,49.986,0.00857911,0.000217616,0.000832162,5.09722e-05,0.24652,-0.00095868,49.986,0.00857911,0.000217616,0.000832162,5.09722e-05,0.24652,-0.724102,49.9687,0.0152271,0.00558781,0.0132858,-2.35194,0.0592915,0.750197,49.964,0.0110044,0.00564564,0.0133628,-2.35194,0.0592915,0.00885097,49.4473,-0.510325,0.015772,0.00659934,-0.788901,0.0592915,0.016985,50.4854,0.536567,0.0159287,0.00644382,-0.788893,0.0592915,0.0247065,49.4471,0.536202,-1.57392,-0.00294998,-0.00291702,0.0592915,0.00123055,50.4856,-0.509984,-1.57382,-0.00302922,-0.00301727,0.0592915,
0.0303,-0.00140696,49.961,0.00862176,0.000362204,0.00131855,7.6775e-05,0.24652,-0.00140696,49.961,0.00862176,0.000362204,0.00131855,7.6775e-05,0.24652,-0.00140696,49.961,0.00862176,0.000362204,0.00131855,7.6775e-05,0.24652,-0.00140696,49.961,0.00862176,0.000362204,0.00131855,7.6775e-05,0.24652,-0.00140696,49.961,0.00862176,0.000362204,0.00131855,7.6775e-05,0.24652,-0.724049,49.9438,0.0151626,0.00557835,0.0132669,-2.35194,0.0592915,0.75056,49.9391,0.0110048,0.00544388,0.0131231,-2.35195,0.0592915,0.00931029,49.4223,-0.510473,0.0161723,0.00614045,-0.788893,0.0592915,0.0174201,50.4606,0.536635,0.015461,0.00684736,-0.788907,0.0592915,0.0249606,49.4221,0.536256,-1.57378,-0.00312823,-0.00302485,0.0592915,0.00153014,50.4608,-0.510072,-1.574,-0.00289897,-0.00281378,0.0592915,
0.0404,-0.000600019,49.926,0.0086512,0.000405422,0.00178393,9.98866e-05,0.24652,-0.000600019,49.926,0.0086512,0.000405422,0.00178393,9.98866e-05,0.24652,-0.000600019,49.926,0.0086512,0.000405422,0.00178393,9.98866e-05,0.24652,-0.000600019,49.926,0.0086512,0.000405422,0.00178393,9.98866e-05,0.24652,-0.000600019,49.926,0.0086512,0.000405422,0.00178393,9.98866e-05,0.24652,-0.726881,49.9088,0.0151608,0.00548911,0.013128,-2.35195,0.0592915,0.752186,49.9042,0.0109801,0.0054283,0.0130695,-2.35195,0.0592915,0.00879207,49.3858,-0.512059,0.0165756,0.0057089,-0.788905,0.0592915,0.016874,50.4272,0.538189,0.0150351,0.00723862,-0.788902,0.0592915,0.0243847,49.3856,0.537798,-1.57376,-0.00314665,-0.00300566,0.0592915,0.00102128,50.4274,-0.511677,-1.57399,-0.00297211,-0.00277623,0.0592915,
0.0505,-4.14425e-05,49.8812,0.00852791,-0.000450069,0.000464132,0.000187683,0.24652,-4.14425e-05,49.8812,0.00852791,-0.000450069,0.000464132,0.000187683,0.24652,-4.14425e-05,49.8812,0.00852791,-0.000450069,0.000464132,0.000187683,0.24652,-4.14425e-05,49.8812,0.00852791,-0.000450069,0.000464132,0.000187683,0.24652,-4.14425e-05,49.8812,0.00852791,-0.000450069,0.000464132,0.000187683,0.24652,-0.729511,49.8636,0.0152945,0.00521034,0.0129749,-2.35196,0.0592915,0.75418,49.8592,0.010948,0.00570395,0.0134158,-2.35196,0.0592915,0.00823788,49.3389,-0.513626,0.0155588,0.00691398,-0.788828,0.0592915,0.0164109,50.3837,0.539855,0.0165259,0.00595512,-0.78896,0.0592915,0.0241501,49.3387,0.539654,-1.57377,-0.00289801,-0.00302175,0.0592915,0.000586748,50.384,-0.51322,-1.57381,-0.00314962,-0.00297343,0.0592915,
0.0606,-0.000371682,49.8264,0.00838367,9.11034e-06,-0.000462396,2.34083e-05,0.24652,-0.000371682,49.8264,0.00838367,9.11034e-06,-0.000462396,2.34083e-05,0.24652,-0.000371682,49.8264,0.00838367,9.11034e-06,-0.000462396,2.34083e-05,0.24652,-0.000371682,49.8264,0.00838367,9.11034e-06,-0.000462396,2.34083e-05,0.24652,-0.000371682,49.8264,0.00838367,9.11034e-06,-0.000462396,2.34083e-05,0.24652,-0.727737,49.8085,0.015543,0.00553381,0.0133135,-2.35194,0.0592915,0.752545,49.8039,0.0110269,0.00602704,0.0137994,-2.35193,0.0592915,0.00860348,49.2851,-0.512307,0.0143181,0.00818111,-0.788966,0.0592915,0.0168377,50.3274,0.538806,0.017694,0.00482665,-0.788811,0.0592915,0.0243762,49.2849,0.538358,-1.57368,-0.00272079,-0.0032374,0.0592915,0.000802338,50.3276,-0.511921,-1.57397,-0.00338275,-0.00294646,0.0592915,
0.0707,-0.000234394,49.7614,0.00838979,0.000966997,-0.000822826,-0.000211959,0.24652,-0.000234394,49.7614,0.00838979,0.000966997,-0.000822826,-0.000211959,0.24652,-0.000234394,49.7614,0.00838979,0.000966997,-0.000822826,-0.000211959,0.24652,-0.000234394,49.7614,0.00838979,0.000966997,-0.000822826,-0.000211959,0.24652,-0.000234394,49.7614,0.00838979,0.000966997,-0.000822826,-0.000211959,0.24652,-0.727046,49.7436,0.0155004,0.00609258,0.0139852,-2.35191,0.0592915,0.752107,49.7389,0.0109922,0.00532618,0.0132291,-2.35192,0.0592915,0.00824722,49.2205,-0.511918,0.0163584,0.00611015,-0.788865,0.0592915,0.0166035,50.2619,0.538414,0.0149904,0.00746879,-0.788879,0.0592915,0.0242603,49.2202,0.538018,-1.57396,-0.00310813,-0.00306098,0.0592915,0.000683991,50.2622,-0.511528,-1.57387,-0.00300177,-0.00315414,0.0592915,
0.0808,-0.000287351,49.6863,0.00854155,0.00110461,-0.00123844,-0.00031419,0.24652,-0.000287351,49.6863,0.00854155,0.00110461,-0.00123844,-0.00031419,0.24652,-0.000287351,49.6863,0.00854155,0.00110461,-0.00123844,-0.00031419,0.24652,-0.000287351,49.6863,0.00854155,0.00110461,-0.00123844,-0.00031419,0.24652,-0.000287351,49.6863,0.00854155,0.00110461,-0.00123844,-0.00031419,0.24652,-0.728429,49.6687,0.0155515,0.00565677,0.0134342,-2.35191,0.0592915,0.753243,49.6638,0.0107633,0.00496221,0.0127894,-2.35192,0.0592915,0.00845421,49.1447,-0.51299,0.016955,0.0055406,-0.788915,0.0592915,0.01679,50.1879,0.53926,0.0140666,0.00840886,-0.788867,0.0592915,0.0243025,49.1444,0.538782,-1.57382,-0.00322834,-0.0032759,0.0592915,0.000715778,50.1881,-0.512519,-1.57407,-0.0026196,-0.00303148,0.0592915,
0.0909,-0.000194175,49.6012,0.00853867,0.000206569,0.000498009,1.89282e-05,0.24652,-0.000194175,49.6012,0.00853867,0.000206569,0.000498009,1.89282e-05,0.24652,-0.000194175,49.6012,0.00853867,0.000206569,0.000498009,1.89282e-05,0.24652,-0.000194175,49.6012,0.00853867,0.000206569,0.000498009,1.89282e-05,0.24652,-0.000194175,49.6012,0.00853867,0.000206569,0.000498009,1.89282e-05,0.24652,-0.728666,49.5837,0.0152985,0.00496355,0.0127914,-2.35195,0.0592915,0.753318,49.5791,0.010945,0.0058239,0.0134909,-2.35194,0.0592915,0.0084354,49.0596,-0.513029,0.0151015,0.00731166,-0.788823,0.0592915,0.0166377,50.1031,0.539281,0.0162294,0.00619273,-0.788965,0.0592915,0.0242597,49.0594,0.538951,-1.57377,-0.00262755,-0.00307823,0.0592915,0.000704403,50.1034,-0.512586,-1.57395,-0.0031899,-0.00289354,0.0592915,
0.101,-0.000282226,49.5062,0.00843961,-0.00121342,0.00139972,0.000352593,0.24652,-0.000282226,49.5062,0.00843961,-0.00121342,0.00139972,0.000352593,0.24652,-0.000282226,49.5062,0.00843961,-0.00121342,0.00139972,0.000352593,0.24652,-0.000282226,49.5062,0.00843961,-0.00121342,0.00139972,0.000352593,0.24652,-0.000282226,49.5062,0.00843961,-0.00121342,0.00139972,0.000352593,0.24652,-0.727816,49.4885,0.0152998,0.00532021,0.0128696,-2.35197,0.0592915,0.752794,49.4842,0.0111497,0.0063594,0.0140568,-2.35195,0.0592915,0.00852078,48.9651,-0.512452,0.0146555,0.00779446,-0.788958,0.0592915,0.016538,50.0077,0.53892,0.0179375,0.00453504,-0.788874,0.0592915,0.0242924,48.9649,0.538478,-1.57369,-0.00275674,-0.00295407,0.0592915,0.00072659,50.0078,-0.512123,-1.57377,-0.00342504,-0.0028733,0.0592915,
0.1111,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.728137,49.3835,0.0153124,0.00616004,0.0139191,-2.35196,0.0592915,0.752983,49.3792,0.0111635,0.00550621,0.0130782,-2.35197,0.0592915,0.00854803,48.8598,-0.512677,0.01689,0.00557504,-0.78891,0.0592915,0.0165988,49.9028,0.539023,0.0160464,0.00641049,-0.788904,0.0592915,0.024293,48.8597,0.538745,-1.57366,-0.00332122,-0.00300142,0.0592915,0.000727451,49.903,-0.512204,-1.57382,-0.0031263,-0.00284424,0.0592915,
0.1212,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.728617,49.2686,0.0153557,0.00597407,0.013635,-2.35193,0.0592915,0.75324,49.2639,0.0109035,0.0047984,0.0126407,-2.35195,0.0592915,0.00843268,48.7446,-0.512938,0.0175116,0.00494247,-0.788857,0.0592915,0.0166556,49.788,0.53926,0.0141839,0.00824816,-0.788929,0.0592915,0.0242632,48.7443,0.538809,-1.57378,-0.00360544,-0.00311707,0.0592915,0.000701077,49.7881,-0.512603,-1.57396,-0.00253048,-0.00294191,0.0592915,
0.1313,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.728238,49.1436,0.0154849,0.00488189,0.0127537,-2.35192,0.0592915,0.753014,49.1388,0.0108359,0.00571709,0.0134573,-2.35191,0.0592915,0.00839298,48.6197,-0.512809,0.014803,0.00765174,-0.788895,0.0592915,0.0167174,49.6627,0.539104,0.0156456,0.00681498,-0.788887,0.0592915,0.0242871,48.6195,0.538671,-1.57385,-0.0023528,-0.0031897,0.0592915,0.000719243,49.6629,-0.512306,-1.574,-0.00326954,-0.00303395,0.0592915,
