tgDataLogger2 started logging at time 01232019_210004, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,0.994929,4.2243,1.09954,-0.0677825,0.000540503,0.242482,1.99491,
0.2,0.984577,5.49296,1.20536,-0.132903,0.0170756,0.486535,1.99491,
0.3,0.974226,5.78061,1.31118,-0.191366,0.0482854,0.729507,1.99491,
0.4,0.963874,5.08727,1.41699,-0.240094,0.0918927,0.971228,1.99491,
0.5,0.953523,3.41292,1.52281,-0.276688,0.145011,1.21228,1.99491,
0.6,0.987455,2.52749,1.82953,-0.316815,0.282301,1.54702,1.99491,
0.7,0.993641,2.56511,2.00861,-0.304004,0.39296,1.63232,1.99491,
0.8,0.926145,2.55058,1.9839,-0.287683,0.46194,1.571,1.99491,
0.9,0.790939,2.50164,1.80008,-0.26743,0.497729,1.43709,1.99491,
1,0.755583,2.5,1.78375,-0.239025,0.514909,1.45136,1.99491,
1.1,0.734922,2.5,1.79578,-0.211707,0.517598,1.46485,1.99491,
1.2,0.714243,2.5,1.80782,-0.184285,0.519967,1.47845,1.99491,
1.3,0.693544,2.5,1.81988,-0.156768,0.522013,1.49214,1.99491,
1.4,0.672825,2.5,1.83194,-0.129165,0.523732,1.50593,1.99491,
1.5,0.652087,2.5,1.84402,-0.101486,0.525122,1.51979,1.99491,
1.6,0.631328,2.5,1.85611,-0.0737413,0.52618,1.53371,1.99491,
1.7,0.610549,2.5,1.86821,-0.0459408,0.526903,1.54768,1.99491,
1.8,0.58975,2.5,1.88032,-0.0180944,0.527291,1.56169,1.99491,
1.9,0.56893,2.5,1.89245,0.00978645,0.527342,1.57572,1.99491,
2,0.548089,2.5,1.90459,0.0376906,0.527053,1.58976,1.99491,
2.1,0.527228,2.5,1.91673,0.0656082,0.526426,1.6038,1.99491,
2.2,0.506345,2.5,1.9289,0.0935294,0.52546,1.61781,1.99491,
2.3,0.485438,2.5,1.94107,0.121445,0.524153,1.6318,1.99491,
2.4,0.464509,2.5,1.95326,0.149343,0.522508,1.64574,1.99491,
2.5,0.443556,2.5,1.96546,0.177213,0.520525,1.65963,1.99491,
2.6,0.438986,2.5,1.96813,0.183257,0.52005,1.66264,1.99491,
2.7,0.438986,2.5,1.96813,0.183257,0.52005,1.66264,1.99491,
2.8,0.438986,2.5,1.96813,0.183257,0.52005,1.66264,1.99491,
2.9,0.5687,2.46455,1.89781,0.183415,0.521396,1.6541,1.99491,
3,0.808224,2.46386,1.64545,0.184717,0.520423,1.66017,1.99491,
3.1,0.933835,2.45568,1.52259,0.189258,0.519175,1.66806,1.99491,
3.2,0.988722,2.45317,1.44215,0.181758,0.520453,1.66013,1.99491,
3.3,1.11783,2.44773,1.35729,0.182688,0.519907,1.66352,1.99491,
3.4,1.48416,2.43089,1.23499,0.184333,0.518801,1.67079,1.99491,
3.5,2.75006,2.34185,1.05093,0.187224,0.51048,1.69074,1.99491,
3.6,3.85614,2.07217,0.753274,0.168284,0.521639,1.58318,1.99491,
3.7,4.60606,2.03889,0.519724,0.220861,0.508044,1.67443,1.99491,
3.8,5.57656,1.97418,0.233539,0.170012,0.527894,1.74979,1.99491,
3.9,7.70197,1.86241,-0.567147,0.230091,0.479395,1.77589,1.99491,
4,11.4791,1.74005,-2.2108,0.171895,0.468206,1.75577,1.99491,
4.1,13.0437,1.72453,-3.10353,0.29172,0.521147,1.72672,1.99491,
4.2,13.2826,1.96241,-3.14738,0.221791,0.513198,1.64089,1.99491,
4.3,13.1322,1.70884,-3.19049,0.163719,0.507587,1.52629,1.99491,
4.4,13.1412,1.72929,-3.0443,0.131266,0.548104,1.63286,1.99491,
