tgDataLogger2 started logging at time 01262019_222904, with 6 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
0.1,-4.38933,8.95473,-0.512704,0.000420907,0.00783806,-2.35109,0.199491,3.3666,8.9376,-0.55772,-0.00431962,-0.00346366,-2.35773,0.199491,0.465834,8.17561,-0.75797,-0.00301639,0.000270596,-0.782007,0.199491,0.842861,10.5569,2.00292,0.000212133,-0.00443086,-0.793128,0.199491,0.74815,8.56967,1.92625,-1.5732,-0.00635081,-0.00645643,0.199645,-0.295274,11.218,-1.05543,-1.57035,0.000757635,-0.00231885,0.199491,
0.2,-4.33319,7.47635,-0.511566,-0.00900496,0.00785185,-2.34476,0.199491,3.3364,7.48259,-0.56991,-0.0104604,-0.00894125,-2.35957,0.199491,0.46149,6.71539,-0.743548,-0.00403592,-0.00238953,-0.777385,0.199491,0.838132,9.08735,1.97896,-0.0038399,-0.00582662,-0.803485,0.199491,0.713002,7.09376,1.92248,-1.56894,-0.0202159,-0.00753603,0.199645,-0.276961,9.73101,-1.03107,-1.57002,0.0136898,-0.00503771,0.199491,
0.3,-4.20521,5.15718,-0.601723,-0.072842,-0.152028,-2.36368,0.199491,3.12469,5.149,-0.607346,-0.00676424,0.103835,-2.37029,0.199491,0.513104,4.85659,-0.658688,-0.0811273,0.0767385,-0.857383,0.199491,0.861746,6.83919,1.96895,-0.014199,0.0124345,-0.812911,0.199491,0.705433,4.74158,1.81216,-1.57891,-0.0557723,-0.0257257,0.199645,-0.299611,7.33166,-1.23477,-1.57193,-0.0163537,0.00025849,0.199491,
0.4,-4.32921,5.53882,-0.770206,0.0700229,0.0438109,-2.46175,0.199491,3.12923,5.49599,-0.468674,0.0552733,0.0159715,-2.46442,0.199491,0.433225,4.81963,-0.643445,-0.165607,0.0868921,-0.894145,0.199491,0.723749,7.16344,1.58621,-0.0208412,-0.027113,-0.878035,0.199491,0.544221,5.46529,1.87005,-1.57071,-0.272616,0.0259473,0.199645,-0.330568,7.67279,-1.3089,-1.57866,-0.0598455,0.0507651,0.199491,
0.5,-4.37594,5.57221,-0.896587,-0.0694325,-0.104094,-2.49965,0.199491,3.44237,5.71001,-0.663327,0.00665494,-0.0557977,-2.54628,0.199491,0.323462,4.70581,-0.89928,0.113321,-0.135727,-0.955195,0.199491,0.550113,7.97174,1.58866,-0.0500466,-0.0341181,-1.0172,0.199491,0.426659,5.60964,1.89384,-1.56959,-0.125003,0.0553462,0.199645,-0.295182,7.82791,-1.69522,-1.55628,-0.259686,0.0189244,0.199491,
0.6,-3.95724,5.31877,-1.04616,-0.128548,-0.142038,-2.41191,0.199491,3.13493,5.53958,-0.703902,-0.000889535,-0.0702423,-2.49233,0.199491,0.43799,4.76519,-0.792451,-0.060427,-0.0366203,-0.874517,0.199491,0.629721,7.285,1.38734,0.0390878,-0.124376,-0.984296,0.199491,0.352604,5.33765,1.65561,-1.55055,-0.160322,0.0580437,0.199645,-0.143279,7.50796,-1.41061,-1.56606,-0.19439,0.0448696,0.199491,
0.7,-4.17059,5.35255,-1.18477,0.0477001,-0.0954933,-2.43144,0.199491,3.01854,5.29261,-0.457139,-0.0151715,-0.0685402,-2.41195,0.199491,0.518164,4.83467,-0.708769,-0.200796,0.0735937,-0.85706,0.199491,0.580294,6.90641,1.6168,-0.055015,-0.0723065,-0.845261,0.199491,0.36135,5.11812,1.6914,-1.57531,0.00238841,0.0789597,0.199645,-0.250911,7.43721,-1.39361,-1.58973,-0.0647341,0.115559,0.199491,
0.8,-4.30879,5.34966,-1.25054,0.00793285,-0.15881,-2.43189,0.199491,3.07375,5.32162,-0.364784,-0.0332006,-0.1266,-2.4174,0.199491,0.466885,4.79123,-0.745903,0.0518966,-0.154433,-0.878273,0.199491,0.448707,7.02736,1.711,0.017226,-0.146716,-0.859635,0.199491,0.285365,5.13421,1.76817,-1.58224,-0.0694266,0.105886,0.199645,-0.305566,7.50333,-1.43749,-1.58094,-0.0576995,0.130341,0.199491,
0.9,-4.18926,5.37688,-1.27434,0.00517747,-0.1388,-2.4399,0.199491,3.02317,5.37237,-0.42167,-0.00451701,-0.11293,-2.43725,0.199491,0.491833,4.79605,-0.725243,-0.0711391,-0.0569732,-0.863922,0.199491,0.57708,6.94882,1.49637,0.079822,-0.186896,-0.874321,0.199491,0.368201,5.28688,1.65883,-1.56601,-0.108211,0.092506,0.199645,-0.259742,7.49096,-1.4265,-1.59127,-0.122389,0.132551,0.199491,
1,-4.19456,5.3759,-1.27716,0.0142983,-0.129588,-2.44081,0.199491,3.02348,5.37159,-0.421153,0.00290298,-0.103641,-2.43778,0.199491,0.490346,4.79619,-0.727039,-0.0511246,-0.0741582,-0.865183,0.199491,0.571639,6.9552,1.50412,-0.00407496,-0.117238,-0.862067,0.199491,0.363802,5.28219,1.66072,-1.56367,-0.0767873,0.0930149,0.199645,-0.261911,7.49127,-1.42929,-1.59143,-0.123771,0.132874,0.199491,
