tgDataLogger2 started logging at time 01242019_105109, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.255187,9.66588,0.161924,-0.845948,0.234927,0.540081,0.0600995,-0.245902,9.35046,-0.159529,-1.54057,-0.804682,-0.783155,0.0610156,
0.2,0.252565,8.19793,0.162898,-0.863301,0.247368,0.550907,0.0600995,-0.243319,7.87644,-0.160488,-1.53808,-0.811538,-0.770149,0.0610156,
0.3,0.25049,5.74736,0.164272,-0.868199,0.250179,0.548021,0.0600995,-0.241275,5.42301,-0.161842,-1.53779,-0.811729,-0.757865,0.0610156,
0.4,0.264417,2.33202,0.168719,-0.890261,0.259223,0.522319,0.0600995,-0.241841,2.04832,-0.172906,-1.67863,-0.849331,-0.689116,0.0610156,
0.5,0.465538,2.1351,-0.0413473,-1.45848,-0.0386401,0.844806,0.0600995,-0.0741476,2.02373,-0.433095,2.30416,-0.463682,0.86166,0.0610156,
0.6,0.661757,2.11492,-0.445613,-1.77985,-0.686431,0.811155,0.0600995,0.17996,1.86922,-0.84019,-2.69488,-0.907834,0.138836,0.0610156,
0.7,0.915491,2.12514,-0.762645,-2.58876,-1.06776,1.32111,0.0600995,0.337491,1.95564,-1.05688,2.33293,-0.678274,1.05145,0.0610156,
0.8,1.13158,2.13582,-0.983644,2.48495,-1.23345,2.26916,0.0600995,0.493769,1.9916,-1.11523,2.01653,-0.745859,1.39971,0.0610156,
0.9,1.19982,2.13511,-1.07688,1.97226,-1.18271,2.71537,0.0600995,0.558546,1.96947,-1.10716,1.89715,-0.876842,1.60984,0.0610156,
1,1.16899,2.13576,-0.994614,2.20896,-1.31203,2.51986,0.0600995,0.543507,1.93168,-1.03954,2.0174,-1.01783,1.56121,0.0610156,
1.1,1.04933,2.1332,-0.751679,-2.36315,-1.25776,0.966867,0.0600995,0.457341,1.89715,-0.913738,2.51751,-1.07813,1.12334,0.0610156,
1.2,0.800661,2.11932,-0.407602,-1.76819,-0.655112,0.777036,0.0600995,0.293748,1.88279,-0.756673,2.98273,-0.818405,0.69642,0.0610156,
1.3,0.481838,2.12213,-0.0641781,-1.26605,-0.101641,0.917708,0.0600995,0.115854,1.8916,-0.561883,-2.77925,-0.559253,0.334273,0.0610156,
1.4,0.227628,2.13463,0.191929,-0.828068,0.198599,1.19016,0.0600995,-0.0184271,1.95828,-0.391144,-2.46025,-0.304835,0.172451,0.0610156,
1.5,0.0718215,2.13525,0.32886,-0.532651,0.243995,1.42042,0.0600995,-0.077843,1.97884,-0.287984,-2.39921,-0.137594,0.217958,0.0610156,
