tgDataLogger2 started logging at time 01242019_111932, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.0237931,9.47278,0.0384048,-0.68569,0.413736,0.999679,0.000596188,0.0311042,9.48682,-0.0381909,-1.63239,-0.399629,-0.614704,0.000605276,
0.2,-0.00357623,7.98977,0.0149991,-0.571719,-0.119972,1.89095,0.000596188,0.0580626,8.02762,-0.0151366,-1.75685,0.246314,0.24742,0.000605276,
0.3,0.00915195,5.57977,0.02636,2.98961,1.09019,1.32124,0.000596188,0.0455255,5.53423,-0.0263269,1.81043,0.174739,-1.07745,0.000605276,
0.4,0.0234034,2.11922,-0.0396759,0.96492,-0.232835,-2.30273,0.000596188,0.0314881,2.12835,0.0387175,1.93692,0.590679,2.60982,0.000605276,
0.5,-0.0945823,1.6786,-0.00434325,2.45953,1.0656,-1.72394,0.000596188,-0.114119,1.75386,0.00409263,-2.2957,0.476664,-2.09597,0.000605276,
0.6,-0.181623,1.87653,0.069147,3.08028,-0.406049,2.86151,0.000596188,-0.196573,1.81331,0.112908,2.68091,0.760746,1.20516,0.000605276,
0.7,0.0575348,1.60679,0.175085,2.75696,-0.93705,1.64986,0.000596188,-0.0146687,1.57458,0.167601,1.51086,-0.214505,0.921995,0.000605276,
0.8,0.168914,1.67527,0.171391,0.248832,-0.103041,-1.14639,0.000596188,0.2095,1.61457,0.200226,1.49467,-0.373832,-3.0848,0.000605276,
0.9,0.312502,1.78243,0.319797,2.91041,0.32637,-1.51879,0.000596188,0.285759,1.84622,0.358206,-2.16609,0.132612,-2.80609,0.000605276,
1,0.808835,1.90559,0.464204,-2.96774,0.381185,-2.95894,0.000596188,0.768463,1.85581,0.511218,-1.40566,1.45648,-3.07083,0.000605276,
1.1,1.43799,1.88735,0.172919,2.66061,-0.424391,-0.773879,0.000596188,1.45447,1.96483,0.178945,-2.31353,-0.877345,3.06144,0.000605276,
1.2,2.22742,1.87755,-0.534071,3.00071,-0.44753,0.181554,0.000596188,2.18567,1.92297,-0.580425,1.39643,-1.41928,0.132419,0.000605276,
1.3,3.45291,2.73494,-2.37776,2.30927,-0.0379792,-1.76401,0.000596188,3.46342,2.7796,-2.31212,-2.75468,0.234073,3.06243,0.000605276,
1.4,4.89714,2.81838,-4.16945,-0.222369,1.06562,0.362395,0.000596188,4.65114,2.8546,-4.3248,-0.869636,-0.0681099,-1.33885,0.000605276,
1.5,6.10403,1.85287,-6.00596,-2.28615,0.228533,2.15644,0.000596188,6.07264,2.01553,-6.29335,2.2819,0.48628,-0.211658,0.000605276,
1.6,6.45566,3.36559,-9.61232,0.742723,-0.664899,1.197,0.000596188,6.69603,3.23653,-9.90033,-0.162387,1.3655,2.93208,0.000605276,
1.7,7.09935,3.81694,-13.3665,1.22662,-0.246067,1.34692,0.000596188,6.98969,3.72103,-13.4484,0.593877,0.862864,2.48995,0.000605276,
1.8,7.46497,3.21231,-17.0258,0.781038,0.0108159,1.54232,0.000596188,7.55723,3.29838,-17.09,2.18504,-0.753421,-3.07091,0.000605276,
1.9,8.09752,2.17154,-21.0343,2.61168,-0.036078,1.95994,0.000596188,7.98517,2.39494,-21.1415,1.44487,0.188558,0.197999,0.000605276,
2,9.46352,8.24433,-31.0574,-0.502143,-0.152079,-0.124558,0.000596188,9.55622,8.22427,-30.6751,2.01162,-1.44305,2.18442,0.000605276,
2.1,11.1186,13.3518,-40.6602,1.20739,0.567425,2.4975,0.000596188,10.8425,13.0571,-40.6227,0.350729,-0.326211,-1.79077,0.000605276,
2.2,12.4385,17.2534,-50.3306,-2.30626,0.816869,3.11674,0.000596188,12.459,17.1305,-50.5036,1.69982,0.683762,-0.85294,0.000605276,
2.3,13.872,20.2102,-60.2745,-2.84923,0.0701318,-2.96602,0.000596188,13.9635,20.1873,-60.1152,2.00558,0.437862,1.51587,0.000605276,
2.4,15.5135,22.1537,-69.9572,1.36955,0.131656,2.6571,0.000596188,15.2632,22.2949,-69.9841,-0.38594,1.50723,-0.110984,0.000605276,
2.5,16.7266,23.3086,-79.7073,-0.768186,-0.0920925,1.10885,0.000596188,16.9849,23.2318,-79.7866,-2.75141,0.561302,0.51395,0.000605276,
